00602.ppm;1267;553;1300;586;1;0.73
00602.ppm;439;539;476;576;3;0.61
00602.ppm;445;545;472;572;1;0.69
00603.ppm;361;443;418;503;1;0.71
00603.ppm;367;450;411;494;2;0.53
00604.ppm;365;482;438;549;2;0.8
00606.ppm;1204;245;1285;320;6;0.57
00606.ppm;1137;335;1186;381;6;0.52
00609.ppm;809;506;842;539;1;0.8
00609.ppm;1251;9;1272;31;6;0.57
00609.ppm;812;510;838;535;1;0.5
00610.ppm;925;507;980;561;2;0.59
00611.ppm;839;488;872;521;1;0.82
00612.ppm;161;369;249;457;4;0.76
00612.ppm;821;535;851;567;2;0.66
00612.ppm;125;517;217;615;6;0.88
00612.ppm;155;550;195;590;6;0.48
00613.ppm;477;544;514;582;1;0.68
00613.ppm;1134;564;1165;594;1;0.58
00616.ppm;1208;611;1238;638;5;0.57
00619.ppm;841;414;880;453;5;0.69
00619.ppm;846;418;874;444;5;0.57
00620.ppm;1326;423;1360;456;1;0.53
00621.ppm;1125;372;1151;400;2;0.52
00621.ppm;1083;368;1267;557;2;0.53
00621.ppm;1049;462;1083;494;5;0.51
00621.ppm;1225;514;1258;550;3;0.6
00621.ppm;1126;525;1198;603;5;0.53
00622.ppm;0;431;132;560;6;0.63
00623.ppm;971;372;1034;438;1;0.69
00623.ppm;293;510;332;550;2;0.51
00623.ppm;980;380;1028;429;2;0.47
00624.ppm;385;504;435;555;6;0.89
00624.ppm;823;466;843;486;1;0.52
00625.ppm;1036;376;1103;445;1;0.76
00626.ppm;857;403;895;443;1;0.8
00626.ppm;855;441;895;481;1;0.81
00634.ppm;524;370;572;418;1;0.66
00635.ppm;825;423;865;462;1;0.78
00636.ppm;773;561;830;621;5;0.57
00636.ppm;1119;270;1155;308;2;0.54
00636.ppm;1118;244;1150;277;1;0.49
00636.ppm;1108;292;1145;329;4;0.54
00636.ppm;922;527;1043;639;3;0.66
00636.ppm;1027;422;1082;472;2;0.49
00636.ppm;1106;269;1136;299;3;0.56
00638.ppm;361;308;434;387;2;0.53
00638.ppm;123;200;165;242;5;0.48
00638.ppm;305;289;331;317;5;0.52
00638.ppm;359;390;409;439;2;0.51
00638.ppm;283;272;334;321;1;0.49
00638.ppm;1083;490;1123;529;3;0.57
00639.ppm;999;37;1023;59;5;0.5
00639.ppm;809;456;835;480;3;0.51
00639.ppm;1132;17;1165;50;2;0.49
00640.ppm;1102;350;1177;426;1;0.68
00641.ppm;22;420;72;470;4;0.72
00642.ppm;1242;68;1317;148;3;0.56
00643.ppm;1131;539;1224;632;5;0.58
00643.ppm;784;501;824;541;5;0.59
00643.ppm;1244;0;1314;74;5;0.54
00643.ppm;897;166;935;206;1;0.53
00644.ppm;869;465;897;492;1;0.5
00645.ppm;0;255;45;304;3;0.62
00645.ppm;902;159;993;243;4;0.54
00645.ppm;1006;307;1103;403;2;0.55
00645.ppm;1030;307;1092;370;1;0.76
00645.ppm;104;439;144;476;1;0.49
00645.ppm;102;434;162;491;5;0.58
00645.ppm;79;398;215;522;1;0.5
00645.ppm;1077;190;1103;217;1;0.53
00645.ppm;837;560;859;585;5;0.53
00646.ppm;1104;474;1141;513;5;0.61
00646.ppm;1102;392;1128;417;4;0.58
00646.ppm;1098;343;1173;422;2;0.55
00647.ppm;1110;385;1136;410;2;0.51
00647.ppm;1309;250;1360;304;4;0.57
00648.ppm;330;548;374;590;1;0.64
00648.ppm;998;433;1066;495;1;0.56
00648.ppm;496;311;524;339;4;0.52
00648.ppm;844;532;880;565;1;0.53
00648.ppm;324;137;345;158;1;0.61
00648.ppm;195;413;226;446;2;0.56
00648.ppm;627;128;657;156;1;0.51
00648.ppm;624;240;734;343;1;0.52
00648.ppm;647;121;780;249;2;0.54
00648.ppm;12;532;45;565;2;0.63
00648.ppm;762;352;849;445;4;0.66
00648.ppm;662;95;760;185;2;0.57
00648.ppm;643;66;769;192;2;0.55
00648.ppm;866;394;891;420;5;0.53
00648.ppm;564;506;586;531;3;0.59
00648.ppm;510;504;532;526;3;0.73
00649.ppm;1114;453;1139;478;2;0.53
00649.ppm;1177;390;1201;415;1;0.5
00649.ppm;433;426;453;445;3;0.66
00649.ppm;1249;49;1273;74;1;0.57
00649.ppm;1116;421;1153;460;4;0.53
00649.ppm;50;435;89;471;4;0.5
00649.ppm;215;371;320;482;5;0.52
00649.ppm;1335;532;1359;554;3;0.81
00649.ppm;1285;527;1327;567;3;0.57
00650.ppm;397;712;489;806;5;0.57
00650.ppm;1165;318;1198;349;4;0.54
00651.ppm;812;430;898;516;3;0.63
00651.ppm;785;365;864;449;3;0.55
00651.ppm;117;45;222;145;1;0.67
00651.ppm;1318;19;1356;55;2;0.67
00651.ppm;412;430;443;463;1;0.51
00651.ppm;1014;412;1057;454;3;0.71
00651.ppm;1328;133;1349;157;3;0.73
00651.ppm;795;347;853;401;2;0.67
00652.ppm;86;210;113;238;4;0.57
00652.ppm;526;462;559;493;2;0.56
00652.ppm;625;474;671;523;2;0.51
00652.ppm;350;383;374;405;5;0.51
00652.ppm;176;497;201;522;3;0.64
00652.ppm;123;493;145;514;3;0.57
00653.ppm;0;107;43;146;4;0.62
00653.ppm;440;517;461;539;1;0.52
00653.ppm;1075;391;1108;425;1;0.55
00653.ppm;762;344;817;399;3;0.51
00653.ppm;788;476;821;513;4;0.61
00653.ppm;821;458;855;490;3;0.6
00654.ppm;12;488;32;509;2;0.51
00654.ppm;1252;278;1280;308;3;0.69
00654.ppm;109;520;145;554;1;0.54
00655.ppm;11;292;91;365;1;0.49
00655.ppm;6;561;28;582;2;0.53
00655.ppm;864;304;921;367;2;0.53
00655.ppm;1143;517;1176;553;3;0.73
00656.ppm;0;482;27;508;3;0.58
00656.ppm;576;467;598;488;1;0.68
00657.ppm;992;398;1026;436;1;0.66
00657.ppm;609;430;631;454;3;0.67
00657.ppm;595;431;617;455;3;0.73
00658.ppm;0;423;26;448;2;0.52
00658.ppm;869;337;941;415;2;0.6
00659.ppm;993;430;1033;470;1;0.6
00660.ppm;943;421;980;459;1;0.74
00660.ppm;947;426;975;456;2;0.48
00661.ppm;576;206;607;237;5;0.54
00661.ppm;1158;16;1184;41;6;0.6
00661.ppm;1142;404;1166;428;1;0.54
00663.ppm;914;551;977;613;2;0.62
00663.ppm;858;371;879;391;2;0.6
00663.ppm;462;548;508;599;4;0.7
00663.ppm;836;310;890;359;5;0.67
00663.ppm;520;556;557;592;1;0.53
00665.ppm;1089;734;1151;794;1;0.48
00665.ppm;701;420;735;452;2;0.55
00667.ppm;129;183;161;215;5;0.49
00668.ppm;1082;250;1173;341;1;0.72
00669.ppm;898;393;949;445;1;0.68
00670.ppm;995;305;1064;374;1;0.69
00671.ppm;845;392;883;430;1;0.66
00671.ppm;839;348;891;396;2;0.66
00672.ppm;866;515;909;554;3;0.62
00672.ppm;887;271;945;329;6;0.61
00672.ppm;117;340;139;361;3;0.7
00674.ppm;715;369;752;406;1;0.77
